Año;Hora_24;Mes;Dia;Mes resumido;dia resumido;Fecha Dia;Semana2;Delito;Total General Año Anterior;Estación Final;CAI Final;Cuadrante Final;Genero Final;Zona Final;Clase Sitio Final;Arma Final;Modalidad Final;Causa Lesion Final;Barrio Hecho Final;Grupo Edad Ley Final
2026;19;Enero;Domingo;Ene;Dom;4;2;H. Automotores;0;E-Sur;CAI 8;Z. Atención 17 Sur;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Pandiguando;Adolescencia (12 a 17 años) 
2026;20;Marzo;Domingo;Mar;Dom;22;13;H. Automotores;0;E-Norte;No Reportado;E-Norte;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;Vda Claridad;Infancia (0 a 11 años)
2026;20;Marzo;Domingo;Mar;Dom;22;13;H. Automotores;0;E-Norte;No Reportado;E-Norte;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;Vda Claridad;Infancia (0 a 11 años)
2026;21;Mayo;Domingo;May;Dom;24;22;H. Automotores;0;E-Sotara;No Reportado;E-Sotara;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;Vda Las Piedras;Adolescencia (12 a 17 años) 
2026;22;Enero;Miércoles;Ene;Mié;14;3;H. Automotores;0;E-Norte;CAI 2;Z. Atención 5 Norte;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;Variante Norte;Infancia (0 a 11 años)
2025;18;Abril;Martes;Abr;Mar;8;15;H. Automotores;1;E-Norte;CAI 2;Z. Atención 4 Norte;Femenino;Urbano;Vias Publicas;Sin Empleo de Armas;Factor De Oportunidad;No Reportado;San Ignacio;Adolescencia (12 a 17 años) 
2025;19;Mayo;Martes;May;Mar;27;22;H. Automotores;1;E-Norte;CAI 4;Z. Atención 16 Norte;Femenino;Urbano;Vias Publicas;Sin Empleo de Armas;Halado;No Reportado;Las Americas;Adolescencia (12 a 17 años) 
2026;18;Marzo;Sábado;Mar;Sáb;28;13;H. Automotores;0;E-Timbio;No Reportado;E-Timbio;Masculino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Sector El Columpio Via Panamericana;Adolescencia (12 a 17 años) 
2026;22;Mayo;Miércoles;May;Mié;13;20;H. Automotores;0;E-Norte;CAI 2;Z. Atención 6 Norte;Masculino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Vda Rio Blanco Norte;Infancia (0 a 11 años)
2026;21;Enero;Martes;Ene;Mar;6;2;H. Automotores;0;E-Coconuco;No Reportado;E-Coconuco;Masculino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Cmiento Paletara;Adolescencia (12 a 17 años) 
2026;23;Enero;Martes;Ene;Mar;13;3;H. Automotores;0;E-Norte;CAI 2;Z. Atención 6 Norte;Masculino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Vda Rio Blanco Norte;Adolescencia (12 a 17 años) 
2025;20;Agosto;Viernes;Ago;Vie;29;35;H. Automotores;1;E-Norte;CAI 1;Z. Atención 2 Norte;Femenino;Urbano;Vias Publicas;Sin Empleo de Armas;Halado;No Reportado;Santa Clara;Infancia (0 a 11 años)
2026;19;Marzo;Lunes;Mar;Lun;2;10;H. Automotores;0;E-Coconuco;No Reportado;E-Coconuco;Masculino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Vda El Sendero;Adolescencia (12 a 17 años) 
2026;23;Enero;Lunes;Ene;Lun;19;4;H. Automotores;0;E-Norte;CAI 2;Z. Atención 3 Norte;Masculino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Vda Santa Rosa;Adolescencia (12 a 17 años) 
2026;18;Febrero;Lunes;Feb;Lun;9;7;H. Automotores;0;E-Timbio;Z. Atención 2 E-Timbio;Z. Atención 2 E-Timbio;Masculino;Rural;Carretera;Sin Empleo de Armas;Engaño;No Reportado;Vda La Martica;Adolescencia (12 a 17 años) 
2026;17;Julio;Lunes;Jul;Lun;6;28;H. Automotores;0;E-Timbio;Z. Atención 2 E-Timbio;Z. Atención 2 E-Timbio;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Vda Camposano;Infancia (0 a 11 años)
2026;13;Julio;Martes;Jul;Mar;7;28;H. Automotores;0;E-Sur;CAI 10;Z. Atención 23 Sur;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Parque Las Garzas;Adolescencia (12 a 17 años) 
2026;13;Agosto;Martes;Ago;Mar;4;32;H. Automotores;0;E-Norte;CAI 2;Z. Atención 4 Norte;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Bello Horizonte;Infancia (0 a 11 años)
2026;15;Junio;Martes;Jun;Mar;2;23;H. Automotores;0;E-Sur;CAI 8;Z. Atención 16 Sur;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;La Esmeralda;Infancia (0 a 11 años)
2026;14;Febrero;Miércoles;Feb;Mié;25;9;H. Automotores;0;E-Norte;CAI 1;Z. Atención 1 Norte;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Modelo;Adolescencia (12 a 17 años) 
2026;17;Marzo;Jueves;Mar;Jue;19;12;H. Automotores;0;E-Sur;CAI 10;Z. Atención 22 Sur;Masculino;Urbano;Vias Publicas;Arma Blanca;Atraco;No Reportado;Lomas De Granada;Infancia (0 a 11 años)
2026;15;Enero;Viernes;Ene;Vie;30;5;H. Automotores;0;E-Norte;CAI 4;Z. Atención 15 Norte;Masculino;Urbano;Vias Publicas;Sin Empleo de Armas;Engaño;No Reportado;Santa Teresita;Adolescencia (12 a 17 años) 
2026;16;Julio;Sábado;Jul;Sáb;18;29;H. Automotores;0;E-Coconuco;S-Purace;Z. Atención 1 S-Purace;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Centro;Adolescencia (12 a 17 años) 
2026;16;Mayo;Sábado;May;Sáb;23;21;H. Automotores;0;E-Norte;CAI 4;Z. Atención 16 Norte;Masculino;Urbano;Vias Publicas;Sin Empleo de Armas;Engaño;No Reportado;Valencia;Adolescencia (12 a 17 años) 
2026;17;Junio;Sábado;Jun;Sáb;6;23;H. Automotores;0;E-Norte;No Reportado;E-Norte;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;Vda Mirador Del Sendero;Adolescencia (12 a 17 años) 
2026;13;Julio;Domingo;Jul;Dom;5;28;H. Automotores;0;E-Sur;No Reportado;E-Sur;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;Vda Cajete;Adolescencia (12 a 17 años) 
2026;14;Enero;Martes;Ene;Mar;6;2;H. Automotores;0;E-Coconuco;No Reportado;E-Coconuco;Masculino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Cmiento Paletara;Adolescencia (12 a 17 años) 
2026;15;Abril;Jueves;Abr;Jue;9;15;H. Automotores;0;E-Norte;CAI 2;Z. Atención 3 Norte;Masculino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Vda San Bernardino;Infancia (0 a 11 años)
2026;16;Abril;Viernes;Abr;Vie;17;16;H. Automotores;0;E-Norte;No Reportado;E-Norte;Masculino;Rural;Carretera;Arma de Fuego;Atraco;No Reportado;Vda Pisoje Bajo;Adolescencia (12 a 17 años) 
2025;13;Junio;Domingo;Jun;Dom;22;26;H. Automotores;1;E-Norte;CAI 3;Z. Atención 11 Norte;Femenino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;El Recuerdo;Infancia (0 a 11 años)
